City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,Te Anau,-45.4167,167.7167,47.26,86,100,3.89,NZ,2022-05-24 17:29:53
115,Lorengau,-2.0226,147.2712,81.05,75,86,6.67,PG,2022-05-24 17:29:53
116,Karratha,-20.7377,116.8463,74.82,46,11,8.75,AU,2022-05-24 17:29:54
117,Nanortalik,60.1432,-45.2371,34.39,67,36,31.32,GL,2022-05-24 17:29:54
118,Codrington,-38.2667,141.9667,51.53,81,100,9.91,AU,2022-05-24 17:29:55
119,Ribeira Grande,38.5167,-28.7,66.6,82,40,6.91,PT,2022-05-24 17:25:57
120,Tiberias,32.7922,35.5312,72.9,53,0,5.17,IL,2022-05-24 17:29:55
121,Sines,37.9562,-8.8698,66.29,61,99,15.01,PT,2022-05-24 17:29:55
122,Tuatapere,-46.1333,167.6833,50.16,81,89,16.96,NZ,2022-05-24 17:29:56
123,Churapcha,62.0025,132.4325,37.8,88,52,12.08,RU,2022-05-24 17:29:56
124,Georgetown,5.4112,100.3354,84.13,88,20,1.14,MY,2022-05-24 17:25:26
125,Tambacounda,13.7539,-13.7586,105.85,21,0,4.61,SN,2022-05-24 17:29:57
126,Vaini,-21.2,-175.2,69.96,100,20,3.44,TO,2022-05-24 17:29:57
127,Bilma,18.6853,12.9164,97.81,7,0,1.99,NE,2022-05-24 17:29:57
128,Naze,28.3667,129.4833,68.92,93,100,5.03,JP,2022-05-24 17:29:58
129,Kapaa,22.0752,-159.319,77.11,85,0,14.97,US,2022-05-24 17:29:58
130,Marawi,7.9986,124.2928,70.86,91,100,2.55,PH,2022-05-24 17:29:58
131,Udachnyy,66.4167,112.4,34.45,63,100,6.62,RU,2022-05-24 17:29:59
132,Yeppoon,-23.1333,150.7333,64.18,90,100,10.69,AU,2022-05-24 17:29:59
133,Riga,57.0,24.0833,68.07,40,0,6.91,LV,2022-05-24 17:28:15
134,Cherskiy,68.75,161.3,38.03,87,92,17.29,RU,2022-05-24 17:25:54
135,Sao Filipe,14.8961,-24.4956,72.73,76,32,5.14,CV,2022-05-24 17:31:00
136,Severo-Kurilsk,50.6789,156.125,39.18,92,86,5.44,RU,2022-05-24 17:25:59
137,Port Alfred,-33.5906,26.891,62.19,89,98,12.64,ZA,2022-05-24 17:31:00
138,Roald,62.5833,6.1333,59.9,71,75,3.44,NO,2022-05-24 17:31:01
139,Setermoen,68.861,18.3486,58.96,98,100,7.2,NO,2022-05-24 17:31:01
140,Half Moon Bay,37.4636,-122.4286,84.54,63,0,4.61,US,2022-05-24 17:31:02
141,Victoria,22.2855,114.1577,79.18,92,100,13.0,HK,2022-05-24 17:30:22
142,Laguna,38.421,-121.4238,87.15,29,0,8.05,US,2022-05-24 17:31:02
