WeatherPy_Database.csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
637,Makakilo City,US,21.3469,-158.0858,82.72,51,75,10.36,broken clouds
638,La Peca,PE,-5.6111,-78.435,77.67,68,99,2.66,light rain
639,Badamdar,AZ,40.3394,49.8039,67.95,49,83,3.44,broken clouds
640,Santana Do Livramento,BR,-30.8908,-55.5328,54.86,94,27,5.66,scattered clouds
641,Vao,NC,-22.6667,167.4833,73.2,69,57,5.64,broken clouds
642,Southbridge,US,42.0751,-72.0334,77.63,72,76,1.99,broken clouds
643,Scarborough,GB,54.2797,-0.4044,49.91,81,24,5.99,few clouds
644,Kencong,ID,-8.2833,113.3667,74.88,91,82,2.82,broken clouds
645,Pangnirtung,CA,66.1451,-65.7125,40.57,90,87,2.57,overcast clouds
646,Las Palmas,ES,28.4204,-14.0131,66.99,68,20,17.27,few clouds
647,Aksu,CN,41.1231,80.2644,66.4,36,0,3.65,clear sky
648,Rio Blanco,MX,18.8333,-97.15,76.06,68,56,6.64,broken clouds
649,Xihe,CN,31.6864,113.4659,71.87,83,84,7.52,broken clouds
650,Stornoway,GB,58.2093,-6.3865,51.76,85,20,6.91,few clouds
651,Agirish,RU,61.9247,63.0231,35.94,52,4,5.14,clear sky
652,Medea,DZ,36.2642,2.7539,69.19,49,100,6.93,overcast clouds
653,Beringovskiy,RU,63.05,179.3167,38.52,81,37,4.38,scattered clouds
654,Bosaso,SO,11.2842,49.1816,87.96,62,68,6.51,broken clouds
655,Strezhevoy,RU,60.7333,77.5889,34.39,97,100,10.22,overcast clouds
656,Karatau,KZ,43.1667,70.4667,65.64,25,14,4.47,few clouds
657,Palmer,US,42.1584,-72.3287,80.2,44,65,10.02,broken clouds
658,Alekseyevka,RU,50.6309,38.6903,55.47,86,42,6.08,scattered clouds
659,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,78.8,33,11,3.56,few clouds
660,Manta,EC,-0.95,-80.7333,73.36,83,93,12.41,overcast clouds
661,Kruisfontein,ZA,-34.0033,24.7314,58.89,84,100,9.64,overcast clouds
662,Zhangzhou,CN,24.5133,117.6556,76.6,97,56,1.72,broken clouds
663,Saint-Leu,RE,-21.15,55.2833,72.46,66,16,5.99,few clouds
664,Perth,AU,-31.9333,115.8333,48.67,94,0,4.61,fog
665,Loubomo,CG,-4.1997,12.6739,71.26,90,68,3.24,broken clouds
666,Laguna,US,38.421,-121.4238,81.01,34,100,9.22,overcast clouds
667,Abomsa,ET,9.9833,39.9833,74.01,42,81,3.51,broken clouds
668,Harrisonville,US,38.6533,-94.3488,71.19,81,100,0.0,light rain
669,Ust-Nera,RU,64.5667,143.2,68.32,43,59,1.19,broken clouds
670,Tapes,BR,-30.6733,-51.3958,59.02,86,8,12.86,clear sky
671,Kuryk,KZ,43.2,51.65,74.86,36,40,6.02,scattered clouds
672,Banjar,ID,-8.19,114.9675,76.37,90,24,3.42,few clouds
673,Avera,US,33.194,-82.5271,85.55,43,77,10.83,broken clouds
674,Ca Mau,VN,9.1769,105.15,76.82,88,93,3.51,overcast clouds
675,San Francisco,US,37.7749,-122.4194,75.45,51,100,8.99,overcast clouds
676,Vestmanna,FO,62.1564,-7.1664,45.52,100,100,0.0,mist
677,Havoysund,NO,70.9963,24.6622,46.63,91,100,2.48,overcast clouds
678,Zhangye,CN,38.9342,100.4517,64.54,42,77,6.64,broken clouds
679,Pangai,TO,-19.8,-174.35,77.79,76,10,11.79,clear sky
680,Porto Santo,PT,33.072,-16.3415,64.78,77,40,8.05,scattered clouds
681,Qui Nhon,VN,13.7667,109.2333,79.14,79,18,5.12,few clouds
682,Mount Isa,AU,-20.7333,139.5,55.17,82,52,3.44,broken clouds
683,Boende,CD,-0.2167,20.8667,73.04,79,49,1.74,scattered clouds
684,Otane,NZ,-39.8833,176.6333,44.01,76,100,3.94,overcast clouds
685,Lagos,NG,6.5833,3.75,79.61,83,98,6.8,overcast clouds
686,Tottori,JP,35.5,134.2333,64.47,82,0,5.75,clear sky
687,Shilka,RU,51.85,116.0333,55.4,86,100,5.84,overcast clouds
688,Shilka,RU,51.85,116.0333,55.4,86,100,5.84,overcast clouds
